time,v_cmd,v_wheel,v_ground,slip_difference
0.04199999999999804,0.0,4.619394279068508e-05,4.3541593617235495e-05,2.6523491734495885e-06
0.04299999999999926,0.0,4.619394279068508e-05,6.119620964919436e-05,-1.5002266858509272e-05
0.04400000000000048,0.0,4.619394279068508e-05,9.03448551260333e-06,3.7159457278081755e-05
0.04499999999999815,0.0,4.619394279068508e-05,4.427717752821495e-05,1.9167652624701325e-06
0.045999999999999375,0.0,4.619394279068508e-05,7.350367654629233e-05,-2.7309733755607244e-05
0.0470000000000006,0.0,4.619394279068508e-05,4.4704709045728324e-05,1.489233744956759e-06
0.047999999999998266,0.0,4.619394279068508e-05,3.6771200059607814e-05,9.42274273107727e-06
0.04899999999999949,0.0,4.619394279068508e-05,7.42959043304634e-06,3.8764352357638743e-05
0.04999999999999716,0.0,4.619394279068508e-05,8.634000992528198e-05,-4.01460671345969e-05
0.04999999999999716,0.0,4.619394279068508e-05,0.00017929976692472547,-0.0001331058241340404
0.0519999999999996,0.0,4.619394279068508e-05,7.55972357931775e-05,-2.9403293002492423e-05
